Source file	Page	Supplier	Invoice no	Date	Description	Total	Confidence	Tool	Review
miriana.pdf	1	jbl Joseph Borg Ltd	JBL 10235803	2026-05-14	ARDENA DANISH COMBI WHITE 16KGS; KORAL SMOKED SALMON 10x1KG SLICED	117.44	100%	DI	Review
miriana.pdf	2	-	-	-	Invoice goods or services	-	35%	TXT	Review
miriana.pdf	3	ibs FRANCIS BUSUTTIL & SONS MARKETING LIMITED	26/0045747	2026-05-14	PRINGLES SMALL ORIGINAL - 12×40G; PRINGLES SMALL SOUR CREAM & ONION - 12×40G	39	100%	DI	Review
miriana.pdf	4	BR SUPPLY CO. SUPPLY	-	2026-05-18	FTIRA X20 150G	7.24	100%	DI	Review
miriana.pdf	5	matimex fruit & veg	INV1047502	2026-05-16	Onions Yellow; Tomatoes; Iceberg Lettuce; Cherry Tomatoes; Cucumber; Capsicum	51.07	100%	DI	Review
miriana.pdf	6	Dione Busuttil	#26399	2026-05-11	Rothmans Blue; Rothmans Red; Rothmans Select; Rothmans Capsule; Royals Red; Roy…	4830.97	100%	DI	OK
miriana.pdf	7	N Calleja Trading	10532517	2026-05-18	HIE-POULTRY ROLL X 105G X 50PCS - 888; PORMINHO LUNCHEON MEAT X KG - PEC211	48.09	100%	DI	Review
miriana.pdf	8	N N Calleja Trading	10532081	2026-05-18	RICE PARBOILED X 10 KG -; SWEETCORN 6 X 2600 G NET -	49.48	100%	DI	Review
miriana.pdf	9	AMSM Alf Mizzi & Sons Marketing Group	78135367	2026-05-18	GO AND FUN MANGO 24X250ML; GO AND FUN ORIGINAL GF 24X250ML; GO AND FUN ORIGINAL…	171.01	100%	DI	Review
miriana.pdf	10	35 &nectar PEARS	SIN1572985	2026-05-18	GRAN MORAVIA hard cheese shavings 1000g ×10	-	100%	DI	Review
miriana.pdf	11	matimer fruit & veg	INV1047750	2026-05-18	Iceberg Lettuce; Tomatoes; Cucumber; Capsicum; Lemons; Rucola /; Onions	62.03	100%	DI	Review
miriana.pdf	12	BORG & AQUILINA LIMITED	BA 10475295	2026-05-18	HARV.PURE OL.OIL 12X750ML	135	100%	DI	Review
miriana.pdf	13	JLP LTD.	-	2026-05-20	GREEN AMOROSO DISHWASH 5lt [1]; (TP) 185x70 KRAFT SALAD BOWLS + LIDS 1300ml x50…	189.68	100%	DI	Review
miriana.pdf	14	BORG & AQUILINA LIMITED	BA 10476162	2026-05-20	SUNNY KUNSERVA 6X2000G	41.58	100%	DI	Review
miriana.pdf	15	N Calleja Trading	10534701	2026-05-20	DWN MILK CHOCOLATE COOKIE X 36PCS - 979312/87317; HIE-POULTRY ROLL X 105G × 50P…	84.11	100%	DI	Review
miriana.pdf	16	N N Calleja Trading	10534129	2026-05-20	MILK SOLAREC SEMI SKIMMED 1.5% 12 X 1 LTR - VUHT21SOLA101; SWEETCORN 6 X 2600 G…	46.02	100%	DI	Review
miriana.pdf	17	Q C.O.D QUALITY FOODS MARKETING	10820938	2026-05-20	BURGER SLICES (112 SLC) 8 X 1400GR Lot: C14585, Batch: 14056, Expiry: 29/04/202…	112.88	100%	DI	Review
miriana.pdf	18	CAMEL BRAND FOOD PRODUCTS	CBM 10267497	2026-05-20	BIGILLA X 2KG **	6	100%	DI	Review
miriana.pdf	19	BR SUPPLY BR SUPPLY CO.	-	2026-05-21	FTIRA X20 150G; BAGUETTE CLASSIC 145g ×50	21.71	100%	DI	Review
